"data_i","",""
3000,186164,83468
2331,166528,56439
3129,137776,78109
3058,181588,81827
3667,51973,52122
3682,39947,51932
3175,152809,74830
4059,165673,75966
3174,172903,79082
4108,188929,68174
3644,228955,95100
4161,40518,33145
3995,62025,30347
5406,183187,85732
4662,189131,67143
4786,200685,54307
5533,253731,45754
6087,275533,69576
6230,81032,17573
5916,83504,23347
6166,217375,63267
5420,223268,46385
6519,248933,42642
7058,305925,50453
9276,330371,69537
9326,83072,10212
9539,87809,12216
8656,297542,41438
8685,289175,33313
9317,275216,27820
9186,261015,28053
9692,273223,34481
10082,82854,10419
11397,69667,5167
11784,217419,31229
11305,225061,32815
13002,246287,33289
13655,266314,37929
14575,304244,48635
14260,117421,10605
15335,80943,9991
15376,122137,16755
14150,284387,43002
16533,144258,20012
17669,366663,53485
17345,414946,65209
18912,162737,31605
18027,152171,28381
17970,252390,79909
18901,297446,95146
20200,17725,2560
20920,690855,193300
21379,471493,117578
21838,133996,32262
19983,169370,26651
19603,347344,101808
19843,360514,127880
21038,361902,132662
22782,210244,30566
23418,429076,178183
22086,197103,42269
21882,104744,31456
21157,374435,117422
20128,359680,156079
20515,421953,124088
20902,454597,207163
19851,490611,249899
20571,228069,67667
19014,137120,38276
17491,393996,164521
17165,427752,184526
18417,479504,198159
18501,432604,285407
18702,463113,333419
17984,242833,81426
16536,200055,47163
15972,350064,448327
14666,356488,402351
9225,402044,558884
20533,388121,435737
14653,294913,528775
15942,186156,208478
15452,140751,165879
13988,322704,401928
13821,372011,391023
14176,346968,386575
16031,338710,420771
14403,390683,389574
15191,155782,143444
14029,114686,107633
12583,252208,475947
11786,292955,497040
13801,320038,489624
13894,303869,497051
14555,343232,532338
14109,172607,175573
13576,119089,131415
12709,302214,465865
10919,407285,565802
11252,319212,479158
13256,303807,568037
12697,877041,353992
11975,171374,173761
12353,97684,137990
10288,263032,522559
9489,264618,526840
10414,249157,455114
11646,297976,535319
11754,234166,502393
11375,113204,189151
10828,61598,138581
9930,231463,450994
9869,277704,445765
21066,311768,438032
0,440706,452193
11140,476840,556969
10630,232354,211195
10817,168831,150982
10035,407928,453515
9445,432316,476985
10064,416777,231518
11276,440490,538449
10486,443620,597935
10648,266793,223990
10863,198826,151735
10111,438214,447955
